agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,382955122594101,POCKET CYN C A GUERNEVILLE CA,ST,382955.0,1225941.0,38.4986111,-122.9947222,G,U,NAD83,NAD83,6,6,97,US,,CAMP MEEKER,24000.0,44.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383001122540701,008N009W31C002M,GW,383001.9,1225407.7,38.50052778,-122.9021389,G,5,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,58.0,N,1.6,NAVD88,18010110,,V,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19860930.0,20040913.0,,,PST,Y,C,YY,N100CACSTL,,,80.0,80.0,D,9677BHM32
USGS,383003122540401,008N009W31C003M,GW,383003.3,1225404.4,38.50091667,-122.9012222,G,1,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,48.0,N,1.6,NAVD88,18010110,,G,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20040916.0,,,PST,Y,C,YY   Y,N100CACSTL,,,,,,967760420
USGS,383003122540402,008N009W31C004M,GW,383003.3,1225404.4,38.50091667,-122.9012222,G,1,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,48.0,N,1.6,NAVD88,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20040916.0,,,PST,Y,C,Y,N100CACSTL,,,,,,967760420
USGS,383003122540403,008N009W31C005M,GW,383003.3,1225404.4,38.50091667,-122.9012222,G,1,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,48.0,N,1.6,NAVD88,18010110,,G,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20040916.0,,,PST,Y,C,YY   Y,N100CACSTL,,,25.0,,S,967760420
USGS,383006123000601,FIFE C A GUERNEVILLE CA,ST,383006.0,1230006.0,38.50166667,-123.0016667,G,U,NAD83,NAD83,6,6,97,US,,CAZADERO,24000.0,46.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383009122543001,GREEN VALLEY C NR MIRABEL HEIGHTS CA,ST,383009.0,1225430.0,38.5025,-122.9083333,G,U,NAD83,NAD83,6,6,97,US,,GUERNEVILLE,24000.0,71.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383012122574501,RUSSIAN R A ODD FELLOWS PARK NR RIO NIDO CA,ST,383012.0,1225745.0,38.5033333,-122.9625,G,F,NAD83,NAD83,6,6,97,US,,GUERNEVILLE,24000.0,40.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383016123041101,008N011W27N001M,GW,383016.3,1230411.0,38.50452778,-123.0697222,G,5,NAD83,NAD83,6,6,97,US,      S27 T08N  R11W  M,"CAZADERO, CA",24000.0,63.0,N,1.6,NAVD88,18010110,,U,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19840625.0,20120719.0,,,PST,Y,C,YY   Y,,,,30.0,30.0,D,00BHM8187
USGS,383017122580301,008N010W28RU01M,GW,383017.4,1225802.5,38.50483333,-122.96736111,G,5,NAD83,NAD83,6,6,97,US,SESES28 T08N  R10W  M,"GUERNEVILLE, CA",24000.0,45.0,N,4.3,NAVD88,180101100903,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19830926.0,20170504.0,,,PST,Y,C,YY,,,,98.0,107.0,D,
USGS,383028122554501,HOBSON C NR HACIENDA CA,ST,383028.0,1225545.0,38.50777778,-122.9291667,G,U,NAD83,NAD83,6,6,97,US,,GUERNEVILLE,24000.0,60.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383034122590701,008N010W29H004M,GW,383034.4,1225907.9,38.50955556,-122.9855278,G,5,NAD83,NAD83,6,6,97,US,  SENES29 T08N  R10W  M,"GUERNEVILLE, CA",24000.0,43.0,N,1.6,NAVD88,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19941201.0,20040913.0,,,PST,Y,C,YY   Y,N100CACSTL,,,99.0,110.0,D,9677BHM32
